review_id,final_score,uncertainty,margin,disagreement,model_pred,llm_sentiment,reviews.rating,snippet
R00141,0.6491,0.3916,0.7664,1.0,Positive,Neutral,4.0,Initially I gave the Echo Show a 3 star rating. In all fairness after about 20 days of use I've decided to change my sco...
R00301,0.5826,0.3185,0.6167,1.0,Positive,Negative,4.0,I've had the new Fire HD 8 with the case for about a week. I use it exclusively for reading and listening to audiobooks....
R00417,0.5469,0.2783,0.5387,1.0,Positive,Neutral,4.0,I've been an iPad user since the original came out. I also have an iPad 3. I have worked in IT for the past few years so...
R00979,0.5192,0.2478,0.4767,1.0,Positive,Negative,4.0,I bought this after I bought the Amazon Echo. This was actually an impulse buy. I saw it and bought it not reading any r...
R00427,0.5105,0.2375,0.459,1.0,Positive,Neutral,4.0,"This new KFHD replaces last year's basic Kindle Fire. Although it has some cool new features, it lacks a camera, microph..."
R00005,0.5042,0.2319,0.4411,1.0,Positive,Neutral,4.0,"Had older model, that you could text to speech, this one hasn't. Liked the smaller size, but having to buy a different c..."
R00086,0.5039,0.2331,0.4369,1.0,Positive,Negative,4.0,"I have the original Nvidia Shield TV (not the latest 2017 version) and as such, I also have the older/bulkier controller..."
R00690,0.5011,0.2276,0.4367,1.0,Positive,Neutral,4.0,"this is a very good product, the speakers are good, the price was right. I liked everything about it, other than the fac..."
R00314,0.4997,0.2267,0.4317,1.0,Positive,Negative,4.0,Very protective case but highly over priced piece of molded foam....
R00615,0.4996,0.226,0.4327,1.0,Positive,Negative,4.0,"..exactly what I wanted, but the battery drains FAST when on hands free mode...."
R00541,0.4938,0.2199,0.4192,1.0,Positive,Neutral,4.0,"This is a fun and convenient toy, but I'm surprised about some of the limitations. I keep hearing the same NPR news clip..."
R00544,0.4914,0.2177,0.4128,1.0,Positive,Negative,4.0,"Thoughts of being able to have the Echo ""grow"" as I added to the list of tasks, excited me. Including the latest app, ha..."
R00082,0.4876,0.2277,0.3687,1.0,Neutral,Negative,3.0,"Without an on / off button, I have found that the controller comes on (the light comes on showing it's connected to the ..."
R00294,0.4867,0.2125,0.4025,1.0,Positive,Negative,4.0,"Has the basics covered: Secure hold, access to all ports, camera etc. Folds flat and holds magnetically if you want to r..."
R00955,0.4835,0.2291,0.3449,1.0,Neutral,Negative,3.0,Having to press to talk steals the real thunder of what the amazon echo can do....
R00102,0.4834,0.2244,0.3562,1.0,Neutral,Negative,3.0,"I've had this for about 8 months now. And in those 8 months I've switched back and forth from this remote, and the tiny ..."
R01058,0.4819,0.2267,0.3426,1.0,Neutral,Negative,3.0,Love it but Way to expensive...
R00851,0.4818,0.2067,0.3925,1.0,Positive,Negative,4.0,"Overall good, not great. I get tired of having to push the button to talk to her and she can't find a lot of the music I..."
R00767,0.4806,0.2063,0.3874,1.0,Positive,Neutral,4.0,Took awhile to get connected to my home wifi but now that it is it streams flawlessly with no lags in music. Doesn't hav...
R00860,0.4797,0.2041,0.3882,1.0,Positive,Neutral,4.0,"Nice sound for the money, good highs not much lows..."
R00230,0.4756,0.1997,0.3787,1.0,Positive,Negative,4.0,It seems to work fine so far (2 Days with it). What I don't like is how Amazon has made it so thePrime content is mixed ...
R00795,0.4744,0.1989,0.3749,1.0,Positive,Negative,4.0,I am a huge fan of the echo. That being said this is the last one I would buy. The original echo's speaker sounds much b...
R00630,0.4736,0.1975,0.3741,1.0,Positive,Neutral,4.0,I haven't figured it out yet. So far it seems ok but I haven't used all of its potential yet....
R00942,0.4688,0.1929,0.3618,1.0,Positive,Negative,4.0,Good product but requires hands on to operate. Good if sitting close but not if you're mobile. Wold be great if portable...
R00472,0.4668,0.1891,0.3613,1.0,Positive,Neutral,4.0,Read more...
R00802,0.4664,0.2073,0.314,1.0,Neutral,Negative,3.0,It works about 50% of the time when asking it a question....
R00730,0.4656,0.2032,0.3203,1.0,Neutral,Negative,3.0,I was really excited for this speaker. Got it all hooked up to my echo and was ready to go. Then I listened to the music...
R00475,0.4654,0.1865,0.3608,1.0,Positive,Neutral,4.0,"To sum up what I will tell you about in the details below, for 229 you are getting a good deal on a tablet computer - es..."
R00687,0.4641,0.2019,0.3159,1.0,Neutral,Positive,3.0,I bought this as a Christmas gift. I'm told that they are enjoying it and are very Happy with all it can do....
